p	n	D	T	He3	He4	Be7	Li7	Li6
3.270495e-01	6.729504e-01	8.623655e-13	3.536427e-24	4.606655e-24	5.957371e-32	-3.579193e-39	1.308049e-40	1.816017e-36	%
3.257204e-01	6.742795e-01	8.590250e-13	3.587002e-24	4.679528e-24	6.708790e-32	-3.757270e-39	1.405344e-40	1.708919e-36	%
3.243882e-01	6.756116e-01	8.557865e-13	3.639924e-24	4.755585e-24	7.567218e-32	-3.945508e-39	1.509937e-40	1.603172e-36	%
3.230533e-01	6.769466e-01	8.526501e-13	3.695295e-24	4.834965e-24	8.549446e-32	-4.144540e-39	1.622393e-40	1.498745e-36	%
3.217158e-01	6.782841e-01	8.496158e-13	3.753222e-24	4.917813e-24	9.675129e-32	-4.355042e-39	1.743321e-40	1.395608e-36	%
3.203759e-01	6.796240e-01	8.466839e-13	3.813820e-24	5.004284e-24	1.096731e-31	-4.577729e-39	1.873382e-40	1.293728e-36	%
3.190338e-01	6.809661e-01	8.438544e-13	3.877210e-24	5.094539e-24	1.245303e-31	-4.813363e-39	2.013287e-40	1.193073e-36	%
3.176897e-01	6.823102e-01	8.411277e-13	3.943519e-24	5.188751e-24	1.416413e-31	-5.062754e-39	2.163807e-40	1.093613e-36	%
3.163438e-01	6.836561e-01	8.385039e-13	4.012885e-24	5.287103e-24	1.613807e-31	-5.326759e-39	2.325775e-40	9.953147e-37	%
3.149963e-01	6.850035e-01	8.359835e-13	4.085452e-24	5.389787e-24	1.841909e-31	-5.606289e-39	2.500091e-40	8.981468e-37	%
3.136475e-01	6.863524e-01	8.335667e-13	4.161372e-24	5.497009e-24	2.105947e-31	-5.902308e-39	2.687731e-40	8.020774e-37	%
3.122974e-01	6.877024e-01	8.312540e-13	4.240808e-24	5.608983e-24	2.412110e-31	-6.215836e-39	2.889748e-40	7.070748e-37	%
3.109464e-01	6.890534e-01	8.290457e-13	4.323932e-24	5.725941e-24	2.767742e-31	-6.547951e-39	3.107282e-40	6.131068e-37	%
3.095947e-01	6.904052e-01	8.269425e-13	4.410928e-24	5.848126e-24	3.181563e-31	-6.899792e-39	3.341566e-40	5.201416e-37	%
3.082423e-01	6.917575e-01	8.249448e-13	4.501991e-24	5.975796e-24	3.663957e-31	-7.272557e-39	3.593934e-40	4.281472e-37	%
